_id,REPORT_NAME,SECTION,DESCRIPTION,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE
21055,OFFENSE 2.0,1786,Required Financial Responsibility.,2015-03-10T08:30:00,Dagmar Ave & Hampshire Ave,Beechview,6
20940,OFFENSE 2.0,2709,Harassment (Non-Specific),2015-03-10T09:00:00,200 block Sunnyland Ave,Carrick,3
20960,OFFENSE 2.0,3922,Theft by Deception.,2015-03-10T09:00:00,3500 block Forbes Ave,Central Oakland,4
20914,OFFENSE 2.0,2701,Simple Assault.,2015-03-10T09:18:00,600 block Seagirt St,East Hills,5
20988,OFFENSE 2.0,2701,Simple Assault.,2015-03-10T09:18:00,600 block Seagirt St,East Hills,5
20941,OFFENSE 2.0,3304,Criminal Mischief.,2015-03-10T09:30:00,Shiloh St & Grandview Ave,Mount Washington,3
21056,OFFENSE 2.0,3304,Criminal Mischief.,2015-03-10T09:30:00,2100 block Noblestown Rd,Westwood,6
21013,OFFENSE 2.0,9999,9999 - (Misc. Incident): ,2015-03-10T10:00:00,Penn Ave & Pearl St,Bloomfield,5
20860,OFFENSE 2.0,29,Missing Juvenile,2015-03-10T10:00:00,200 block Ridge Ave,Allegheny Center,1
21057,ARREST,3503(b)(1)(ii),Defiant Trespass Notice Posted by Sign(s),2015-03-10T10:11:00,1400 block Rockland Ave,Golden Triangle/Civic Arena,6
20901,OFFENSE 2.0,9999,9999 - (Misc. Incident): 9999 - (Misc. Incident): ,2015-03-10T10:12:00,100 block Washington Pl,Golden Triangle/Civic Arena,2
20961,ARREST,3926(a)(1),Theft of Services; Cable  Gas  Taxi  Bill  Tab  etc.,2015-03-10T10:30:00,4400 block Sweetbay St,New Homestead,4
20861,OFFENSE 2.0,9999,9999 - (Misc. Incident): ,2015-03-10T10:45:00,400 block E North Ave,East Allegheny,1
20902,ARREST,3304,Criminal Mischief.,2015-03-10T10:45:00,500 block Smithfield St,Golden Triangle/Civic Arena,2
20903,ARREST,2701,Simple Assault.,2015-03-10T10:45:00,500 block Smithfield St,Golden Triangle/Civic Arena,2
21014,OFFENSE 2.0,3304,Criminal Mischief.,2015-03-10T10:50:00,500 block N St Clair St,East Liberty,5
21015,OFFENSE 2.0,9496,Dead on Arrival (DOA),2015-03-10T11:15:00,300 block Lowell St,Larimer,5
21058,OFFENSE 2.0,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-03-10T11:49:00,2500 block Wenzell Ave,Beechview,6
20962,ARREST,3502,Burglary.,2015-03-10T12:05:00,300 block Atwood St,Central Oakland,4
20963,ARREST,3701,Robbery.,2015-03-10T12:05:00,300 block Atwood St,Central Oakland,4
20964,ARREST,2701,Simple Assault.,2015-03-10T12:05:00,300 block Atwood St,Central Oakland,4
20965,OFFENSE 2.0,7512,Criminal Use of Communication,2015-03-10T12:05:00,Glen Caladh St & 2nd Ave,Hazelwood,4
20966,OFFENSE 2.0,13(a)(31),Marijuana: Possession Small Amount,2015-03-10T12:05:00,Glen Caladh St & 2nd Ave,Hazelwood,4
20967,OFFENSE 2.0,13(a)(30),Possession w/ Intent to Del. Controlled Substance,2015-03-10T12:05:00,Glen Caladh St & 2nd Ave,Hazelwood,4
20968,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-03-10T12:05:00,Glen Caladh St & 2nd Ave,Hazelwood,4
20969,ARREST,7512,Criminal Use of Communication,2015-03-10T12:05:00,Glen Caladh St & 2nd Ave,Hazelwood,4
20970,ARREST,13(a)(31),Marijuana: Possession Small Amount,2015-03-10T12:05:00,Glen Caladh St & 2nd Ave,Hazelwood,4
20971,ARREST,13(a)(30),Possession w/ Intent to Del. Controlled Substance,2015-03-10T12:05:00,Glen Caladh St & 2nd Ave,Hazelwood,4
